flight_id,flight_number,airline_iata,aircraft_type,flight_date,scheduled_departure,destination_airport,distance_km,passengers,fuel_kg,flight_type
FLT_20250801_0111,FR7732,FR,A333,2025-08-01,21:00,AMS,1966,106,6247,international
FLT_20250801_0112,W69468,W6,B738,2025-08-01,17:30,MAD,1604,115,2846,domestic
FLT_20250801_0113,AF9634,AF,A333,2025-08-01,12:45,MUC,952,158,3660,international
FLT_20250801_0114,AF2385,AF,A333,2025-08-01,11:15,MAD,1448,116,2854,european
FLT_20250801_0115,U23200,U2,A320,2025-08-01,09:30,AMS,406,116,4471,european
FLT_20250801_0116,FR6831,FR,A320,2025-08-01,18:15,MAD,868,149,7407,domestic
FLT_20250801_0117,AF1901,AF,B738,2025-08-01,08:45,MAD,1771,110,2899,international
FLT_20250801_0118,W6889,W6,B738,2025-08-01,19:15,TLS,1784,110,5243,international
FLT_20250801_0119,AF5516,AF,A320,2025-08-01,06:00,BCN,1998,126,2587,international
FLT_20250801_0120,BA3006,BA,A333,2025-08-01,23:30,MAD,1623,135,7929,domestic
FLT_20250801_0121,BA8093,BA,B738,2025-08-01,22:30,AMS,407,84,3838,international
FLT_20250801_0122,W61921,W6,B738,2025-08-01,14:45,BCN,432,112,7763,international
FLT_20250801_0123,W66538,W6,A320,2025-08-01,10:15,LYS,1784,141,5521,domestic
FLT_20250801_0124,BA8635,BA,A333,2025-08-01,11:45,TLS,1993,98,5835,domestic
FLT_20250801_0125,W68377,W6,A333,2025-08-01,07:00,MAD,451,101,4289,domestic
FLT_20250801_0126,LH7450,LH,A320,2025-08-01,11:45,BCN,1253,85,5689,european
FLT_20250801_0127,KL7300,KL,B738,2025-08-01,06:30,FRA,1716,88,2783,international
FLT_20250801_0128,LH9747,LH,A333,2025-08-01,23:00,FCO,1002,97,6152,domestic
FLT_20250801_0129,U21750,U2,A333,2025-08-01,11:45,LYS,1945,96,6977,european
FLT_20250801_0130,BA7796,BA,B738,2025-08-01,09:15,LYS,1291,106,4856,domestic
FLT_20250801_0131,AF1142,AF,A320,2025-08-01,15:30,NCE,1961,111,4995,european
FLT_20250801_0132,W6137,W6,A333,2025-08-01,06:45,TLS,1187,148,2974,european
FLT_20250801_0133,KL2251,KL,A320,2025-08-01,20:00,MAD,1799,95,2632,european
FLT_20250801_0134,W67409,W6,A333,2025-08-01,07:00,LYS,1599,122,3421,international
FLT_20250801_0135,BA9052,BA,A333,2025-08-01,22:45,AMS,1072,134,7679,international
FLT_20250801_0136,LH8015,LH,A320,2025-08-01,11:15,MAD,609,178,3603,international
FLT_20250801_0137,KL6345,KL,B738,2025-08-01,19:15,BCN,1309,159,5074,domestic
FLT_20250801_0138,AF8748,AF,A333,2025-08-01,11:00,AMS,978,131,5903,domestic
FLT_20250801_0139,AF8528,AF,A333,2025-08-01,12:15,NCE,1335,178,6558,domestic
FLT_20250801_0140,FR3304,FR,B738,2025-08-01,08:15,MAD,446,118,6107,domestic
FLT_20250801_0141,W66800,W6,A333,2025-08-01,15:15,FRA,1702,107,3425,domestic
FLT_20250801_0142,FR604,FR,B738,2025-08-01,13:00,LYS,1069,134,7218,international
FLT_20250801_0143,U24842,U2,B738,2025-08-01,20:15,MAD,1288,86,5829,european
FLT_20250801_0144,KL9600,KL,A333,2025-08-01,14:00,NCE,345,108,7755,international
FLT_20250801_0145,W61351,W6,A320,2025-08-01,11:15,MUC,477,152,7925,european
FLT_20250801_0146,AF4836,AF,A320,2025-08-01,21:15,LHR,412,176,7667,international
FLT_20250801_0147,FR2422,FR,B738,2025-08-01,21:15,MUC,1967,105,3190,european
FLT_20250801_0148,W65125,W6,A320,2025-08-01,16:45,BCN,352,88,7728,domestic
FLT_20250801_0149,BA1340,BA,A320,2025-08-01,15:00,MAD,1164,178,7075,international
FLT_20250801_0150,AF4059,AF,A333,2025-08-01,13:15,MAD,589,148,5149,international
FLT_20250801_0151,W65597,W6,B738,2025-08-01,19:15,FRA,1958,119,3177,domestic
FLT_20250801_0152,U22627,U2,A333,2025-08-01,09:00,MUC,1561,127,3148,european
FLT_20250801_0153,KL6145,KL,A333,2025-08-01,22:45,BCN,1035,169,7052,european
FLT_20250801_0154,KL7496,KL,A320,2025-08-01,10:45,TLS,1246,110,4915,european
FLT_20250801_0155,BA3118,BA,A333,2025-08-01,07:00,NCE,968,122,5998,european
FLT_20250801_0156,AF6439,AF,B738,2025-08-01,11:00,BCN,1204,147,7923,european
FLT_20250801_0157,FR2431,FR,B738,2025-08-01,07:15,MUC,1259,135,2189,domestic
FLT_20250801_0158,U29806,U2,A333,2025-08-01,18:30,TLS,1592,128,3580,international
FLT_20250801_0159,KL7744,KL,B738,2025-08-01,16:15,LHR,1575,128,3230,european
FLT_20250801_0160,W66567,W6,A320,2025-08-01,15:30,FRA,1240,86,7574,international
FLT_20250801_0161,U28210,U2,A333,2025-08-01,14:00,FRA,936,149,6774,european
FLT_20250801_0162,AF6776,AF,A333,2025-08-01,18:45,LHR,1421,165,4814,domestic
FLT_20250801_0163,U27851,U2,B738,2025-08-01,07:15,NCE,1613,172,3568,international
FLT_20250801_0164,U25191,U2,B738,2025-08-01,10:00,FRA,1025,134,7226,european
FLT_20250801_0165,LH7262,LH,B738,2025-08-01,10:15,AMS,819,93,7782,domestic
FLT_20250801_0166,LH4378,LH,A333,2025-08-01,22:15,AMS,1549,112,5926,european
FLT_20250801_0167,U27036,U2,A333,2025-08-01,21:30,MAD,979,162,3609,international
FLT_20250801_0168,FR5029,FR,A333,2025-08-01,06:45,FCO,1219,149,6362,european
FLT_20250801_0169,LH5544,LH,A320,2025-08-01,08:00,NCE,378,146,2052,domestic
FLT_20250801_0170,LH9488,LH,A333,2025-08-01,07:15,BCN,1027,92,2880,international
FLT_20250801_0171,W66147,W6,B738,2025-08-01,06:30,LYS,610,86,7822,international
FLT_20250801_0172,FR921,FR,B738,2025-08-01,10:30,LHR,1160,159,7798,european
FLT_20250801_0173,LH1536,LH,A320,2025-08-01,15:30,FCO,537,112,5468,european
FLT_20250801_0174,KL2144,KL,A320,2025-08-01,16:30,NCE,1036,173,4609,domestic
FLT_20250801_0175,FR6419,FR,B738,2025-08-01,08:15,BCN,1513,167,7348,international
FLT_20250801_0176,BA8759,BA,A333,2025-08-01,09:45,FCO,1322,83,2531,european
FLT_20250801_0177,LH6847,LH,B738,2025-08-01,11:30,LYS,1338,138,3267,international
FLT_20250801_0178,W66343,W6,A333,2025-08-01,06:15,LHR,1277,136,2931,domestic
FLT_20250801_0179,FR540,FR,A333,2025-08-01,20:30,NCE,931,170,5361,european
FLT_20250801_0180,KL4588,KL,A320,2025-08-01,18:00,MUC,1495,90,6063,european
FLT_20250802_0001,U25499,U2,B738,2025-08-02,09:00,AMS,1974,147,4606,european
FLT_20250802_0002,LH8541,LH,B738,2025-08-02,10:15,LHR,1337,126,7873,european
FLT_20250802_0003,AF8060,AF,A333,2025-08-02,12:15,NCE,1132,167,4585,domestic
FLT_20250802_0004,AF8013,AF,A333,2025-08-02,09:15,MUC,1097,88,6722,international
FLT_20250802_0005,FR3497,FR,A333,2025-08-02,20:45,BCN,941,117,2942,european
FLT_20250802_0006,LH3881,LH,A320,2025-08-02,09:00,LYS,1272,162,5889,domestic
FLT_20250802_0007,FR9726,FR,B738,2025-08-02,16:45,AMS,1552,148,6266,international
FLT_20250802_0008,LH6610,LH,A333,2025-08-02,09:15,FRA,1438,114,2032,international
FLT_20250802_0009,BA2784,BA,A320,2025-08-02,21:00,FCO,874,118,6519,domestic
FLT_20250802_0010,U25255,U2,A320,2025-08-02,09:30,MUC,1624,99,6788,international
FLT_20250802_0011,AF6989,AF,A333,2025-08-02,13:15,LHR,1837,92,4120,international
FLT_20250802_0012,AF2287,AF,B738,2025-08-02,14:15,AMS,1378,95,7167,domestic
FLT_20250802_0013,AF7106,AF,A333,2025-08-02,08:15,LYS,849,113,7480,international
FLT_20250802_0014,W69543,W6,B738,2025-08-02,23:30,TLS,771,162,6830,domestic
FLT_20250802_0015,LH8689,LH,A320,2025-08-02,14:00,MAD,1573,91,3301,domestic
FLT_20250802_0016,FR4723,FR,A333,2025-08-02,20:30,MUC,1329,147,5510,european
FLT_20250802_0017,KL2764,KL,A320,2025-08-02,10:15,TLS,1452,97,4527,domestic
FLT_20250802_0018,KL1759,KL,A320,2025-08-02,09:45,BCN,1368,158,2816,international
FLT_20250802_0019,U27467,U2,B738,2025-08-02,20:15,MUC,1970,152,2330,international
FLT_20250802_0020,LH788,LH,A333,2025-08-02,13:30,TLS,1540,165,2856,international
FLT_20250802_0021,U22797,U2,A320,2025-08-02,10:15,AMS,1901,153,3765,international
FLT_20250802_0022,FR8282,FR,A320,2025-08-02,12:00,BCN,1463,112,3651,domestic
FLT_20250802_0023,KL7373,KL,A333,2025-08-02,06:00,AMS,1108,95,3571,domestic
FLT_20250802_0024,AF3449,AF,A333,2025-08-02,17:30,FRA,1489,127,6723,european
FLT_20250802_0025,LH3959,LH,A320,2025-08-02,16:30,FRA,1238,152,6744,domestic
FLT_20250802_0026,AF920,AF,A333,2025-08-02,22:45,LHR,1417,105,5164,european
FLT_20250802_0027,AF6153,AF,A333,2025-08-02,12:45,FCO,402,137,4764,international
FLT_20250802_0028,AF506,AF,A333,2025-08-02,06:30,MUC,944,142,7648,international
FLT_20250802_0029,U26290,U2,A333,2025-08-02,08:45,FCO,1213,135,6427,international
FLT_20250802_0030,LH3938,LH,B738,2025-08-02,14:15,LYS,952,142,4856,international
FLT_20250802_0031,BA5002,BA,A320,2025-08-02,06:00,FCO,1836,175,2974,european
FLT_20250802_0032,LH9858,LH,A320,2025-08-02,08:30,MAD,824,178,4555,european
FLT_20250802_0033,U26228,U2,A320,2025-08-02,12:00,TLS,1040,169,7023,domestic
FLT_20250802_0034,W67696,W6,A320,2025-08-02,22:00,LYS,1355,90,3571,european
FLT_20250802_0035,BA5204,BA,B738,2025-08-02,08:00,AMS,1220,143,3695,european
FLT_20250802_0036,U28006,U2,A320,2025-08-02,22:30,BCN,1916,97,6647,international
FLT_20250802_0037,FR8916,FR,B738,2025-08-02,10:00,FRA,1296,116,7707,international
FLT_20250802_0038,AF6948,AF,B738,2025-08-02,21:00,FRA,1737,124,2971,domestic
FLT_20250802_0039,FR821,FR,A320,2025-08-02,17:45,BCN,1840,108,4991,european
FLT_20250802_0040,LH8009,LH,A320,2025-08-02,12:15,LYS,1955,116,6826,international
FLT_20250802_0041,U21070,U2,A320,2025-08-02,09:15,NCE,1432,116,6720,european
FLT_20250802_0042,U24153,U2,B738,2025-08-02,23:30,NCE,1333,120,2787,domestic
FLT_20250802_0043,AF7387,AF,A333,2025-08-02,13:00,AMS,1566,169,3040,international
FLT_20250802_0044,W67068,W6,A320,2025-08-02,15:00,FRA,507,118,4123,domestic
FLT_20250802_0045,FR9200,FR,B738,2025-08-02,06:00,TLS,1756,121,2024,european
FLT_20250802_0046,KL7316,KL,A320,2025-08-02,21:45,MAD,1771,90,4064,european
FLT_20250802_0047,LH5116,LH,B738,2025-08-02,12:00,LYS,463,150,4539,international
FLT_20250802_0048,KL3308,KL,A333,2025-08-02,22:45,BCN,1173,102,4900,domestic
FLT_20250802_0049,AF6552,AF,A333,2025-08-02,10:15,TLS,836,102,7682,international
FLT_20250802_0050,U27853,U2,A333,2025-08-02,20:30,MAD,1059,80,2651,international
FLT_20250802_0051,KL4495,KL,B738,2025-08-02,20:30,TLS,375,127,5805,european
FLT_20250802_0052,BA4209,BA,A320,2025-08-02,10:45,MUC,337,140,6437,domestic
FLT_20250802_0053,U26560,U2,A320,2025-08-02,06:45,TLS,1600,139,3588,international
FLT_20250802_0054,W65073,W6,A333,2025-08-02,22:15,NCE,1200,89,4338,domestic
FLT_20250802_0055,KL9084,KL,B738,2025-08-02,13:30,BCN,668,89,4745,international
FLT_20250802_0056,AF7986,AF,A320,2025-08-02,23:00,AMS,1595,116,2361,international
FLT_20250802_0057,AF9423,AF,A320,2025-08-02,14:15,MAD,556,106,2462,international
FLT_20250802_0058,U23882,U2,A320,2025-08-02,09:45,NCE,1724,103,7365,domestic
FLT_20250802_0059,FR4843,FR,A320,2025-08-02,09:15,TLS,339,114,6327,domestic
FLT_20250802_0060,W66046,W6,A333,2025-08-02,18:30,FCO,986,164,2330,european
FLT_20250802_0061,AF3801,AF,A333,2025-08-02,09:45,TLS,1963,172,5610,domestic
FLT_20250802_0062,KL388,KL,A333,2025-08-02,12:30,AMS,1705,128,7311,international
FLT_20250802_0063,BA273,BA,A333,2025-08-02,17:45,AMS,691,153,7616,european
FLT_20250802_0064,BA628,BA,A333,2025-08-02,11:45,MUC,535,178,6335,domestic
FLT_20250802_0065,KL8584,KL,A320,2025-08-02,08:30,FRA,444,87,5066,european
FLT_20250802_0066,BA3549,BA,B738,2025-08-02,20:00,FRA,916,130,5227,european
FLT_20250802_0067,U28729,U2,A333,2025-08-02,23:15,MUC,1751,92,7550,international
FLT_20250802_0068,AF9205,AF,B738,2025-08-02,17:45,AMS,1717,140,5878,european
FLT_20250802_0069,KL3768,KL,A320,2025-08-02,21:30,AMS,1319,157,2656,domestic
FLT_20250802_0070,U27848,U2,B738,2025-08-02,06:15,BCN,1465,136,3913,european
FLT_20250802_0071,KL8800,KL,B738,2025-08-02,19:45,MAD,1266,82,3492,domestic
FLT_20250802_0072,W69366,W6,A333,2025-08-02,06:00,LYS,364,146,6819,european
FLT_20250802_0073,U2190,U2,A333,2025-08-02,09:30,MUC,1539,151,7584,domestic
FLT_20250802_0074,BA770,BA,B738,2025-08-02,15:45,FRA,1829,108,3385,domestic
FLT_20250802_0075,W65041,W6,B738,2025-08-02,10:00,LHR,1643,83,5264,domestic
FLT_20250802_0076,LH370,LH,A333,2025-08-02,14:00,BCN,1187,95,2680,domestic
FLT_20250802_0077,W61361,W6,A333,2025-08-02,17:00,TLS,1945,100,6441,international
FLT_20250802_0078,BA3084,BA,A320,2025-08-02,09:45,FRA,1030,138,7683,domestic
FLT_20250802_0079,W64429,W6,A320,2025-08-02,22:45,MAD,637,94,3049,international
FLT_20250802_0080,KL7886,KL,A333,2025-08-02,20:15,MAD,635,175,7524,international
FLT_20250802_0081,AF1810,AF,A333,2025-08-02,09:15,MUC,1880,126,7026,domestic
FLT_20250802_0082,U25893,U2,A333,2025-08-02,14:45,FCO,1713,80,2720,european
FLT_20250802_0083,U22035,U2,B738,2025-08-02,22:30,TLS,1761,99,4327,european
FLT_20250802_0084,AF7703,AF,A333,2025-08-02,17:15,FRA,1773,152,7140,international
FLT_20250802_0085,FR9280,FR,A333,2025-08-02,16:45,MUC,1567,169,6144,domestic
FLT_20250802_0086,BA7930,BA,B738,2025-08-02,22:15,FRA,392,155,6637,domestic
FLT_20250802_0087,W69488,W6,A333,2025-08-02,23:30,MUC,1998,179,5247,domestic
FLT_20250802_0088,KL7587,KL,B738,2025-08-02,14:15,FCO,961,176,4250,european
FLT_20250802_0089,BA8205,BA,A320,2025-08-02,06:30,NCE,1129,90,2585,international
FLT_20250802_0090,W61189,W6,B738,2025-08-02,22:45,BCN,676,151,7302,international
FLT_20250802_0091,BA4354,BA,A320,2025-08-02,14:45,BCN,1571,178,7501,international
FLT_20250802_0092,U21236,U2,A320,2025-08-02,09:30,MAD,1227,175,4039,international
FLT_20250802_0093,FR2417,FR,B738,2025-08-02,22:45,TLS,449,127,5692,domestic
FLT_20250802_0094,U24129,U2,A333,2025-08-02,06:30,LHR,387,99,2646,european
FLT_20250802_0095,LH5938,LH,A320,2025-08-02,20:00,FRA,1255,178,2824,european
FLT_20250802_0096,BA8786,BA,B738,2025-08-02,19:30,MAD,1667,118,3735,international
FLT_20250802_0097,BA3012,BA,B738,2025-08-02,09:30,BCN,569,95,2901,european
FLT_20250802_0098,LH1229,LH,A333,2025-08-02,13:45,NCE,1734,96,6822,european
FLT_20250802_0099,W69027,W6,A320,2025-08-02,11:00,MUC,973,139,5705,domestic
FLT_20250802_0100,BA5246,BA,A333,2025-08-02,20:45,MUC,1302,172,2597,international
FLT_20250802_0101,KL5711,KL,A320,2025-08-02,20:45,MUC,1472,147,4421,domestic
FLT_20250802_0102,KL2432,KL,B738,2025-08-02,15:15,BCN,749,127,7967,international
FLT_20250802_0103,FR1673,FR,B738,2025-08-02,18:45,FCO,1315,99,7388,domestic
FLT_20250802_0104,U24966,U2,A333,2025-08-02,14:15,LYS,859,80,3172,domestic
FLT_20250802_0105,W62244,W6,B738,2025-08-02,11:15,NCE,1667,179,4021,international
FLT_20250802_0106,KL294,KL,B738,2025-08-02,13:45,LHR,619,103,6300,european
FLT_20250802_0107,FR2348,FR,A333,2025-08-02,12:15,LHR,782,119,2241,international
FLT_20250802_0108,FR1793,FR,A320,2025-08-02,21:15,NCE,1113,169,5599,domestic
FLT_20250802_0109,BA1340,BA,B738,2025-08-02,15:45,TLS,301,148,4702,international
FLT_20250802_0110,AF7072,AF,A333,2025-08-02,19:15,AMS,732,80,2817,international
FLT_20250802_0111,BA2471,BA,A333,2025-08-02,15:30,LYS,758,88,5139,european
FLT_20250802_0112,LH1150,LH,A333,2025-08-02,21:15,NCE,527,164,7159,domestic
FLT_20250802_0113,FR3847,FR,A320,2025-08-02,22:15,BCN,749,99,5477,european
FLT_20250802_0114,U21404,U2,A320,2025-08-02,15:00,NCE,755,102,4923,international
FLT_20250802_0115,AF754,AF,B738,2025-08-02,11:30,MUC,711,146,7152,european
